DBN,PEER INDEX*,2009-2010 OVERALL GRADE,2009-2010 ENVIRONMENT GRADE,2009-2010 PERFORMANCE GRADE,2009-2010 PROGRESS GRADE
06M366,45.09,B1,B2,C3,B4
06M368,50.14,C1,B2,F3,C4
06M457,,A1,A2,A3,A4
06M462,2.17,A1,A2,A3,A4
06M463,2.26,B1,C2,B3,B4
06M467,2.22,A1,A2,A3,A4
06M468,2.28,B1,B2,B3,B4
06M528,2.75,C1,B2,D3,D4
06M540,2.89,C1,D2,D3,C4
06M552,2.29,A1,A2,A3,C4
07X001,56.82,C1,B2,F3,D4
07X005,67.46,C1,A2,C3,C4
07X018,63.58,C1,F2,D3,C4
07X025,69.42,A1,A2,B3,A4
07X029,61.97,C1,C2,D3,B4
07X030,67.16,A1,A2,D3,A4
07X031,64.59,C1,B2,D3,C4
07X043,64.3,A1,A2,C3,A4
07X049,67.56,C1,B2,C3,C4
07X065,67.83,C1,F2,D3,B4
07X151,2.17,A1,B2,D3,A4
07X154,68,C1,C2,D3,C4
07X157,61.88,B1,C2,C3,A4
07X161,68.55,C1,B2,D3,B4
07X162,2.38,B1,D2,D3,B4
07X179,66.03,C1,A2,D3,D4
07X203,2.09,C1,B2,F3,C4
07X221,2.44,A1,B2,A3,A4
07X221,2.46,C1,C2,D3,D4
07X223,2.81,A1,A2,B3,A4
07X224,2.26,B1,B2,D3,A4
07X277,64.94,C1,B2,F3,D4
07X296,1.91,A1,A2,D3,A4
07X298,2.03,A1,B2,D3,A4
07X321,2.2,D1,C2,F3,D4
07X334,1.66,B1,A2,D3,B4
07X343,2.37,A1,A2,C3,A4
07X369,65.47,D1,D2,F3,C4
07X379,2.23,B1,C2,A3,B4
07X381,2.16,B1,A2,C3,C4
07X385,65.96,C1,F2,F3,B4
07X427,2.12,A1,A2,B3,A4
07X473,2.11,B1,A2,B3,B4
07X495,2.74,A1,B2,B3,A4
07X500,2.86,B1,C2,A3,C4
07X500,2.6,A1,B2,B3,A4
07X520,2.08,C1,B2,B3,D4
07X527,2.14,B1,B2,B3,B4
07X547,2.05,D1,A2,F3,D4
07X548,2.56,A1,A2,A3,A4
07X551,2.34,A1,A2,A3,A4
07X551,2.33,B1,A2,C3,B4
07X600,1.95,C1,B2,F3,C4
07X655,1.7,C1,F2,C3,C4
07X670,2.4,B1,C2,C3,B4
08X014,40.81,C1,D2,D3,D4
08X036,54.16,B1,A2,B3,B4
08X048,64.74,B1,B2,C3,A4
08X062,63.59,B1,B2,D3,B4
08X069,60.57,A1,B2,B3,A4
08X071,39.68,C1,D2,C3,B4
08X072,54.75,C1,C2,D3,D4
08X075,64.36,B1,B2,C3,A4
08X093,61.95,B1,B2,C3,A4
08X100,59.77,C1,B2,C3,C4
08X101,3.58,C1,B2,C3,C4
08X107,62.16,D1,C2,F3,F4
08X119,48.51,C1,D2,D3,B4
08X123,2.42,A1,B2,C3,A4
08X125,2.61,B1,C2,C3,B4
08X130,65.21,C1,B2,D3,C4
08X131,2.65,C1,C2,D3,B4
08X138,58.56,C1,B2,D3,F4
08X140,64.32,C1,C2,D3,F4
08X146,64.01,C1,D2,D3,D4
08X152,62.76,A1,B2,C3,A4
08X182,54.72,B1,B2,C3,B4
08X269,2.39,C1,C2,C3,D4
08X282,2.66,C1,F2,B3,C4
08X293,2.23,A1,A2,A3,B4
08X295,1.85,B1,B2,C3,B4
08X301,2.25,C1,B2,D3,B4
08X302,2.23,A1,A2,C3,A4
08X304,38.77,B1,A2,B3,B4
08X305,1.94,B1,B2,B3,B4
08X312,2.12,A1,A2,C3,A4
08X332,2.13,C1,B2,D3,C4
08X333,62.37,C1,B2,D3,C4
08X335,67.6,B1,A2,C3,B4
08X337,2.33,A1,B2,B3,A4
08X366,2.45,C1,D2,F3,F4
08X367,2.52,C1,B2,D3,C4
08X371,2.67,B1,B2,B3,B4
08X375,2.59,C1,F2,D3,C4
08X376,2.66,C1,C2,C3,B4
08X377,2.13,C1,C2,C3,C4
08X405,2.22,F1,F2,D3,F4
08X408,,A1,A2,A3,B4
08X424,2.25,B1,B2,C3,B4
08X452,2.06,C1,A2,C3,D4
08X507,,F1,B2,F3,D4
08X519,2.04,C1,C2,D3,C4
08X530,2.06,D1,A2,F3,D4
08X540,1.68,D1,C2,D3,D4
08X560,2.23,F1,F2,C3,F4
08X650,1.91,C1,C2,D3,C4
09X004,65.29,B1,A2,C3,B4
09X011,63.53,B1,F2,D3,A4
09X022,2.58,C1,B2,F3,B4
09X028,65.27,B1,B2,C3,B4
09X035,57.96,C1,B2,C3,C4
09X042,65.59,A1,B2,C3,A4
09X053,62.75,C1,B2,C3,F4
09X055,65.67,C1,C2,D3,C4
09X058,66.34,C1,D2,D3,B4
09X063,66.22,B1,B2,B3,C4
09X064,69.62,C1,B2,D3,B4
09X070,63.35,C1,C2,F3,C4
09X073,64.56,B1,B2,F3,B4
09X088,64,B1,A2,B3,A4
09X109,66.75,A1,A2,B3,A4
09X110,69.02,B1,A2,C3,B4
09X114,64.61,B1,B2,D3,B4
09X117,2.38,B1,C2,C3,A4
09X126,66.19,B1,C2,D3,B4
09X128,3.06,A1,B2,C3,A4
09X132,67.4,B1,B2,F3,B4
09X145,2.33,B1,A2,D3,B4
09X163,67.75,C1,D2,C3,C4
09X170,60.65,B1,A2,B3,B4
09X199,67.18,A1,B2,B3,B4
09X204,63.21,A1,A2,A3,A4
09X215,3.07,B1,B2,C3,B4
09X218,61.01,A1,A2,B3,A4
09X219,2.27,B1,C2,D3,B4
09X227,1.93,C1,D2,C3,B4
09X229,2.29,B1,C2,C3,A4
09X230,66.77,C1,C2,D3,C4
09X231,2.29,B1,C2,C3,B4
09X232,2.35,A1,B2,D3,A4
09X236,67.48,B1,A2,C3,B4
09X239,1.67,F1,C2,F3,F4
09X241,2.7,B1,B2,C3,B4
09X250,2.44,B1,F2,A3,B4
09X252,2.58,A1,C2,A3,A4
09X260,2.95,B1,B2,A3,B4
09X263,2.2,A1,A2,A3,B4
09X276,2.07,D1,C2,D3,D4
09X297,1.83,A1,B2,A3,B4
09X303,2.84,C1,B2,F3,B4
09X313,2.48,B1,B2,D3,B4
09X323,2.51,A1,D2,C3,A4
09X324,2.6,B1,B2,C3,B4
09X325,2.46,B1,C2,D3,B4
09X327,2.75,A1,A2,B3,A4
09X328,2.24,C1,C2,D3,B4
09X329,2.14,D1,C2,F3,C4
09X339,2.26,B1,C2,D3,B4
09X403,1.97,A1,A2,B3,B4
09X404,1.88,B1,B2,B3,A4
09X412,1.96,C1,B2,C3,B4
09X413,2.78,B1,B2,A3,B4
09X413,2.89,B1,B2,C3,B4
09X414,1.75,C1,A2,C3,C4
09X505,2.48,B1,B2,B3,B4
09X505,2.93,C1,B2,C3,B4
09X517,2.34,B1,B2,A3,C4
09X517,2.84,C1,C2,F3,C4
09X525,2.12,B1,B2,B3,B4
09X543,1.95,A1,A2,A3,A4
10X003,58.49,A1,C2,C3,A4
10X007,59.01,C1,B2,D3,C4
10X008,56.87,B1,C2,C3,A4
10X009,64.94,C1,D2,D3,D4
10X015,61.25,A1,A2,B3,A4
10X020,58.31,B1,B2,C3,B4
10X023,66.79,C1,A2,F3,B4
10X024,24.8,C1,F2,C3,B4
10X032,65.49,A1,A2,A3,A4
10X033,64.3,A1,B2,C3,A4
10X037,61.15,B1,C2,C3,B4
10X045,2.75,C1,C2,C3,C4
10X046,64.09,C1,B2,D3,B4
10X051,56.22,B1,A2,C3,B4
10X054,62.28,C1,D2,D3,C4
10X056,49.16,A1,A2,C3,A4
10X059,67.44,B1,B2,D3,B4
10X080,2.29,B1,C2,D3,B4
10X081,32.96,C1,B2,C3,D4
10X085,65.26,C1,C2,D3,B4
10X086,63.21,A1,A2,C3,A4
10X091,62.58,B1,C2,C3,A4
10X094,57.26,C1,D2,D3,B4
10X095,54.34,B1,D2,C3,B4
10X118,3.02,C1,D2,D3,B4
10X141,2.55,A1,B2,A3,B4
10X141,2.99,D1,C2,C3,D4
10X159,68.43,B1,A2,B3,B4
10X205,61.56,A1,A2,B3,B4
10X206,2.56,B1,B2,C3,B4
10X207,59.18,C1,A2,F3,B4
10X209,64.2,A1,A2,B3,B4
10X213,2.26,A1,B2,A3,C4
10X225,2.58,A1,A2,A3,A4
10X225,2.85,B1,A2,C3,C4
10X226,67.51,D1,B2,C3,F4
10X228,2.6,A1,A2,B3,A4
10X237,2.39,A1,C2,A3,A4
10X243,2.06,C1,B2,F3,C4
10X243,2.64,C1,A2,C3,D4
10X244,2.39,B1,B2,C3,A4
10X246,65.76,C1,B2,D3,B4
10X254,2.3,A1,C2,C3,A4
10X268,1.85,B1,A2,B3,B4
10X279,64.83,B1,B2,D3,B4
10X280,55.32,A1,A2,B3,A4
10X284,2.43,B1,C2,B3,C4
10X291,67.09,B1,A2,B3,B4
10X306,61.16,C1,B2,F3,F4
10X307,61.01,A1,A2,A3,A4
10X308,2.49,B1,C2,C3,B4
10X310,63.65,A1,B2,C3,A4
10X315,61.64,A1,A2,B3,A4
10X319,2.18,B1,A2,B3,B4
10X331,2.2,B1,A2,D3,B4
10X340,61.26,B1,A2,C3,B4
10X342,2.34,B1,A2,F3,B4
10X342,2.22,B1,A2,F3,B4
10X360,59.74,B1,B2,D3,B4
10X368,2.69,B1,B2,F3,B4
