DBN,PEER INDEX*,2009-2010 OVERALL GRADE,2009-2010 ENVIRONMENT GRADE,2009-2010 PERFORMANCE GRADE,2009-2010 PROGRESS GRADE
31R022,47.18,B1,C2,C3,B4
31R023,17.64,B1,B2,C3,C4
31R024,3.17,C1,C2,B3,D4
31R026,35.42,C1,D2,D3,D4
31R027,2.75,C1,B2,C3,C4
31R029,22.46,C1,A2,C3,D4
31R030,21.51,C1,C2,D3,C4
31R031,58.05,B1,B2,D3,B4
31R032,14.69,B1,C2,D3,B4
31R034,3.13,A1,A2,B3,B4
31R035,24.18,C1,B2,D3,C4
31R036,12.59,C1,C2,F3,C4
31R038,35.23,B1,C2,C3,B4
31R039,29.95,C1,B2,D3,F4
31R041,29.98,C1,C2,D3,F4
31R042,16.03,C1,A2,C3,D4
31R044,61.46,C1,C2,F3,B4
31R045,36.76,C1,D2,F3,F4
31R046,39.81,D1,A2,D3,F4
31R047,2.91,A1,B2,A3,A4
31R048,20.18,B1,A2,A3,C4
31R049,2.42,B1,C2,D3,B4
31R050,16.19,B1,C2,D3,B4
31R051,2.68,B1,C2,C3,B4
31R052,25.56,C1,F2,D3,C4
31R053,15.84,B1,A2,D3,B4
31R054,27.96,C1,A2,C3,F4
31R055,13.15,C1,D2,F3,F4
31R056,16.09,C1,F2,D3,F4
31R057,61.98,A1,C2,D3,A4
31R058,28.92,C1,B2,C3,C4
31R060,31.21,C1,B2,D3,B4
31R061,2.72,C1,D2,C3,C4
31R063,2.97,B1,A2,B3,B4
31R069,23.34,C1,A2,F3,C4
31R072,2.78,B1,B2,B3,B4
31R075,3.19,B1,B2,C3,C4
31R080,2.66,A1,A2,A3,A4
31R080,25.62,C1,B2,F3,F4
31R440,2.39,A1,B2,B3,B4
31R445,2.2,B1,C2,B3,B4
31R450,2.33,B1,B2,A3,B4
31R455,2.82,B1,D2,B3,B4
31R460,2.49,A1,B2,A3,A4
31R470,2.15,A1,A2,A3,A4
31R600,1.88,A1,B2,A3,A4
31R605,3.89,A1,B2,A3,A4
31R607,,C1,D2,B3,C4
32K045,59.75,A1,B2,C3,A4
32K075,58.17,C1,B2,C3,D4
32K086,64.97,C1,A2,C3,D4
32K106,65.03,B1,B2,C3,B4
32K116,65.12,A1,B2,C3,A4
32K123,64.11,C1,A2,C3,D4
32K145,63.73,B1,B2,C3,B4
32K151,63.84,C1,A2,D3,C4
32K162,2.61,C1,D2,D3,B4
32K274,63.41,A1,B2,C3,A4
32K291,2.55,C1,C2,D3,C4
32K296,2.67,C1,D2,F3,F4
32K299,60,B1,D2,D3,A4
32K347,2.62,C1,C2,C3,B4
32K349,2.64,C1,B2,D3,C4
32K376,64.02,B1,A2,C3,B4
32K377,62.08,B1,C2,C3,B4
32K383,3.65,C1,D2,F3,C4
32K384,59.7,A1,A2,C3,A4
32K403,2.02,A1,C2,A3,A4
32K545,2.42,C1,D2,D3,C4
32K549,2.07,A1,A2,A3,A4
32K552,1.92,B1,B2,B3,B4
32K554,2.86,A1,A2,B3,A4
32K554,3.34,C1,A2,C3,C4
32K556,1.91,B1,A2,B3,B4
32K564,2.12,B1,A2,F3,B4
75K036,,C1,F2,C3,D4
75K053,,B1,A2,B3,C4
75K140,,D1,F2,D3,D4
75K141,,B1,F2,F3,B4
75K231,,C1,A2,F3,C4
75K368,,D1,B2,F3,D4
75K369,,B1,C2,F3,B4
75K372,,A1,A2,A3,A4
75K771,,A1,A2,B3,B4
75M094,,C1,D2,D3,B4
75M138,,A1,C2,D3,A4
75M169,,D1,F2,F3,C4
75M811,,F1,D2,F3,F4
75Q004,,A1,B2,C3,B4
75Q009,,B1,D2,D3,B4
75Q023,,B1,B2,D3,C4
75Q075,,C1,C2,F3,C4
75Q224,,B1,A2,C3,C4
75Q256,,A1,B2,B3,B4
75R025,,B1,A2,F3,B4
75R373,,B1,A2,D3,B4
75X010,,A1,A2,C3,A4
75X017,,A1,B2,D3,A4
75X168,,D1,C2,F3,D4
75X186,,F1,D2,F3,F4
75X188,,C1,A2,F3,D4
75X352,,B1,F2,C3,A4
75X723,,C1,C2,F3,C4
79K657,,C1,B2,B3,D4
84K355,2.96,A1,A2,A3,A4
84K356,51.13,C1,A2,B3,C4
84K357,2.84,C1,A2,C3,D4
84K358,53.06,C1,A2,B3,F4
84K359,53.91,D1,C2,F3,F4
84K362,38.92,C1,A2,D3,F4
84K473,2.61,D1,B2,D3,F4
84K508,2.88,C1,B2,C3,C4
84K517,48,B1,A2,A3,C4
84K536,28.16,F1,A2,D3,F4
84K538,50.22,B1,A2,C3,C4
84K593,47.15,C1,A2,A3,D4
84K608,3.08,A1,A2,B3,A4
84K648,3.02,A1,A2,B3,A4
84K652,53.2,B1,A2,B3,B4
84K701,50.37,D1,A2,D3,D4
84K702,50.3,B1,A2,B3,C4
84K703,50.71,C1,B2,D3,C4
84K704,50.43,B1,A2,C3,B4
84K731,57.34,A1,A2,A3,A4
84M279,1.55,C1,B2,F3,C4
84M284,54.6,B1,A2,C3,C4
84M320,49.52,B1,A2,B3,B4
84M329,55.19,D1,B2,C3,F4
84M330,40.28,C1,A2,B3,F4
84M335,3.13,A1,A2,B3,B4
84M336,2.73,A1,A2,A3,A4
84M341,52.81,C1,A2,A3,F4
84M350,2.71,A1,A2,B3,A4
84M351,52.09,A1,A2,A3,B4
84M353,2.53,A1,A2,A3,B4
84M353,2.8,C1,A2,D3,D4
84M355,46.27,C1,F2,F3,F4
84M388,2.55,B1,B2,C3,B4
84M702,54.23,C1,F2,C3,F4
84M704,44,C1,A2,C3,D4
84M705,53.47,C1,B2,B3,C4
84M707,1.88,A1,B2,F3,A4
84M708,55.49,C1,B2,F3,F4
84M709,3.01,B1,A2,C3,C4
84M726,2.75,B1,B2,B3,B4
84M861,50.45,D1,B2,D3,F4
84Q170,48.79,C1,B2,D3,B4
84Q704,46.47,C1,D2,C3,F4
84Q705,2.87,B1,A2,B3,B4
84Q705,31.82,B1,A2,C3,B4
84Q706,29.65,C1,A2,D3,D4
84X165,55.22,B1,A2,B3,C4
84X185,55.63,B1,A2,C3,B4
84X255,46.43,A1,A2,A3,A4
84X309,54.36,A1,A2,B3,A4
84X345,58.84,C1,A2,C3,D4
84X346,53.09,D1,B2,B3,F4
84X347,2.67,C1,A2,D3,B4
84X378,47.57,C1,A2,A3,F4
84X407,57.08,C1,A2,D3,F4
84X419,60.61,B1,A2,B3,A4
84X422,54.87,A1,A2,A3,A4
84X703,2.92,C1,A2,B3,D4
84X703,3,C1,A2,F3,C4
84X704,52.92,A1,A2,A3,A4
84X705,59.65,B1,A2,C3,C4
84X706,46.54,C1,B2,F3,B4
84X717,52.22,B1,A2,A3,B4
84X718,49.34,C1,A2,D3,C4
84X730,56.67,B1,B2,C3,B4
